sid,study_id,org_site_id,lon,lat
001_wilkinson_s001,001_wilkinson,rt_keruing_c_000,117.62166666666667,4.576666666666667
001_wilkinson_s002,001_wilkinson,rt_gaharu_c_000,117.53083333333333,4.604166666666668
001_wilkinson_s003,001_wilkinson,rt_vjr_c_000,117.54166666666667,4.65
001_wilkinson_s004,001_wilkinson,rr_15m,117.57666666666667,4.650833333333334
001_wilkinson_s005,001_wilkinson,rt_merbau_c_000,117.625,4.650833333333334
001_wilkinson_s006,001_wilkinson,rt_binuang_c_000,117.45666666666666,4.685833333333334
001_wilkinson_s007,001_wilkinson,rr_0m,117.5725,4.700000000000001
001_wilkinson_s008,001_wilkinson,rr_5m,117.55083333333333,4.708333333333334
001_wilkinson_s009,001_wilkinson,rr_30m,117.6225,4.725833333333334
001_wilkinson_s010,001_wilkinson,rt_tembaling_c_000,117.805,4.945833333333334
001_wilkinson_s011,001_wilkinson,rt_rhinopool_c_000,117.79666666666667,4.949166666666667
001_wilkinson_s012,001_wilkinson,rt_west_c_000,117.79416666666667,4.961666666666667
003_jackson_s001,003_jackson,baakens,25.5675,-33.96333333333333
003_jackson_s002,003_jackson,liesbeek,18.4775,-33.94583333333333
003_jackson_s003,003_jackson,fernkloof,25.288333333333334,-33.72
003_jackson_s004,003_jackson,kap,27.04,-33.45166666666667
003_jackson_s005,003_jackson,hex,19.310000000000002,-33.37166666666667
003_jackson_s006,003_jackson,blaukrantz,26.5225,-33.31666666666666
003_jackson_s007,003_jackson,amatele,27.02,-32.7325
003_jackson_s008,003_jackson,keiskamma,27.151666666666667,-32.6875
003_jackson_s009,003_jackson,tyume,26.9475,-32.6125
003_jackson_s010,003_jackson,klipplaat,26.9475,-32.485
003_jackson_s011,003_jackson,rondegat,19.066666666666666,-32.37583333333333
003_jackson_s012,003_jackson,riet,27.700833333333335,-26.055
003_jackson_s013,003_jackson,muldersdrift,27.845833333333335,-26.036666666666665
003_jackson_s014,003_jackson,magalies,27.565,-26.016666666666666
003_jackson_s015,003_jackson,swartspruit,27.544166666666666,-25.924166666666665
003_jackson_s016,003_jackson,kaaloog,26.375833333333333,-25.784166666666668
003_jackson_s017,003_jackson,walkerspruit,28.218333333333334,-25.7575
003_jackson_s018,003_jackson,klein_sabie,30.785833333333333,-25.075833333333332
003_jackson_s019,003_jackson,mac_mac,30.815,-24.993333333333332
003_jackson_s020,003_jackson,lisbon,30.841666666666665,-24.869999999999997
003_jackson_s021,003_jackson,treur,30.839166666666667,-24.72
004_sroczya_s001,004_sroczya,quinta_da_ombria,-8.081666666666667,37.1875
004_sroczya_s002,004_sroczya,monte_seco,-8.090833333333332,37.18833333333333
004_sroczya_s003,004_sroczya,f_benemola,-8.010833333333334,37.21
007_kelson_s001,007_kelson,paralyze,-123.60333333333334,39.715
007_kelson_s002,007_kelson,misery,-123.61166666666666,39.7175
007_kelson_s003,007_kelson,elder_above,-123.61,39.72
007_kelson_s004,007_kelson,elder_below,-123.63166666666666,39.729166666666664
007_kelson_s005,007_kelson,fox,-123.62583333333333,39.7425
008_boddy_s001,008_boddy,limestone_creek,171.34333333333333,-43.7875
008_boddy_s002,008_boddy,taylors_stream,171.48083333333332,-43.62166666666667
008_boddy_s003,008_boddy,pudding_hill_stream,171.525,-43.575833333333335
008_boddy_s004,008_boddy,kowai_river,171.86416666666668,-43.33166666666666
009_pearce_s001,009_pearce,br3,-84.51333333333334,47.00333333333333
009_pearce_s002,009_pearce,br2,-84.48,47.035000000000004
009_pearce_s003,009_pearce,brup,-84.30666666666667,47.17
009_pearce_s004,009_pearce,mr3,-84.80083333333333,47.9875
009_pearce_s005,009_pearce,mr2,-84.7725,48.04833333333333
009_pearce_s006,009_pearce,mrup,-84.655,48.27916666666667
010_negishi_s001,010_negishi,satsunai_su2,143.11166666666668,42.695
010_negishi_s002,010_negishi,satsunai_su1,143.13166666666666,42.71333333333333
010_negishi_s003,010_negishi,satsunai_sd2,143.1525,42.73916666666667
010_negishi_s004,010_negishi,satsunai_sd1,143.145,42.76583333333333
010_negishi_s005,010_negishi,bisei_bu2,143.02833333333334,42.861666666666665
010_negishi_s006,010_negishi,bisei_bu1,143.04333333333332,42.88333333333333
010_negishi_s007,010_negishi,bisei_bd2,143.06083333333333,42.9075
010_negishi_s008,010_negishi,bisei_bd1,143.0675,42.92583333333334
010_negishi_s009,010_negishi,otofuke_od1,143.20833333333334,43.104166666666664
010_negishi_s010,010_negishi,otofuke_od2,143.21333333333334,43.14333333333333
010_negishi_s011,010_negishi,otofuke_ou1,143.22333333333333,43.18833333333333
010_negishi_s012,010_negishi,otofuke_ou2,143.24666666666667,43.20166666666667
011_pease_s002,011_pease,10_lower_rio_lacanja,-90.79833333333333,16.4
011_pease_s003,011_pease,8_arroyo_cedros,-91.1175,16.76
011_pease_s004,011_pease,1_río_la_venta,-93.52583333333334,16.760833333333334
011_pease_s005,011_pease,2_arroyo_chiquito,-93.8425,16.855
011_pease_s006,011_pease,3_arroyo_negro,-93.87083333333334,16.868333333333332
011_pease_s007,011_pease,11_rio_chancala,-91.79666666666667,17.375
011_pease_s008,011_pease,13_rio_chacamax,-91.9625,17.490833333333335
013_sullivan_s001,013_sullivan,a,-83.0875,39.98416666666667
013_sullivan_s002,013_sullivan,g,-83.10166666666666,39.98916666666667
013_sullivan_s003,013_sullivan,m,-83.09083333333334,39.985
014_fraley_s001,014_fraley,kr,171.7725,-43.30833333333333
014_fraley_s002,014_fraley,cs,171.75666666666666,-43.3075
014_fraley_s003,014_fraley,ss,171.70916666666668,-43.26166666666666
014_fraley_s004,014_fraley,ds,171.72166666666666,-43.26
014_fraley_s005,014_fraley,por,171.72666666666666,-43.245
014_fraley_s006,014_fraley,bro,171.72833333333332,-43.193333333333335
014_fraley_s007,014_fraley,csfh,171.73166666666665,-43.16416666666667
014_fraley_s008,014_fraley,csl,171.71083333333334,-43.14833333333333
014_fraley_s009,014_fraley,pr,171.90333333333334,-43.03583333333333
014_fraley_s010,014_fraley,gs,171.7575,-43.0325
014_fraley_s011,014_fraley,cls,171.68916666666667,-43.02583333333333
014_fraley_s012,014_fraley,cr,171.74833333333333,-43.026666666666664
014_fraley_s013,014_fraley,tf,171.57333333333332,-43.01916666666666
014_fraley_s014,014_fraley,xcws,171.80333333333334,-43.0175
014_fraley_s015,014_fraley,wsb,171.81166666666667,-43.019999999999996
014_fraley_s016,014_fraley,ws,171.8125,-43.019999999999996
014_fraley_s017,014_fraley,ks,171.59166666666667,-43.013333333333335
014_fraley_s018,014_fraley,wrrr,171.70916666666668,-43.0125
